FRED Graph Observations,,,,,,
Federal Reserve Economic Data,,,,,,
Link: https://fred.stlouisfed.org,,,,,,
Help: https://fred.stlouisfed.org/help-faq,,,,,,
Economic Research Division,,,,,,
Federal Reserve Bank of St. Louis,,,,,,
,,,,,,
CATEPUINDXM,"Economic Policy Uncertainty Index: Categorical Index: Overall, Index, Monthly, Not Seasonally Adjusted",,,,,
EPUTRADE,"Economic Policy Uncertainty Index: Categorical Index: Trade policy, Index, Monthly, Not Seasonally Adjusted",,,,,
EPUSOVDEBT,"Economic Policy Uncertainty Index: Categorical Index: Sovereign debt, currency crises, Index, Monthly, Not Seasonally Adjusted",,,,,
EPUTAXES,"Economic Policy Uncertainty Index: Categorical Index: Taxes, Index, Monthly, Not Seasonally Adjusted",,,,,
EPUHEALTHCARE,"Economic Policy Uncertainty Index: Categorical Index: Health care, Index, Monthly, Not Seasonally Adjusted",,,,,
EPUREG,"Economic Policy Uncertainty Index: Categorical Index: Regulation, Index, Monthly, Not Seasonally Adjusted",,,,,
,,,,,,
Frequency: Monthly,,,,,,
observation_date,CATEPUINDXM,EPUTRADE,EPUSOVDEBT,EPUTAXES,EPUHEALTHCARE,EPUREG
1996-01-01,116.689310161736000,44.776559483840300,17.2640032278279000,119.865796022113000,147.238926360294000,117.986762630948000
1996-02-01,90.708101200532500,191.820610555672000,0.0000000000000000,102.086043587817000,120.381184190226000,89.196983367485700
1996-03-01,80.610066041956200,138.481768725633000,45.7653302116855000,78.730372202869200,85.291544956738600,95.134928277328800
1996-04-01,62.703529381032400,67.108001370059700,15.9225172294261000,66.803978835719200,82.987568666658000,62.570748263020900
1996-05-01,74.730567828692600,83.854185178983800,15.2144618973927000,71.741834315821000,67.763070844816800,113.077875120963000
1996-06-01,70.126302169012300,84.674243712605900,16.3234562192734000,59.395063808504400,85.077247796638700,80.880141379250400
1996-07-01,64.633497343369600,52.074246695887400,0.0000000000000000,35.782211667343300,54.795500237864900,52.142176729723400
1996-08-01,70.606417898230500,60.511486580973500,15.5538301244666000,87.779499063728300,100.227036201950000,112.942674193067000
1996-09-01,68.012540318297000,51.670705574904000,31.8753647216230000,49.706892325328500,74.004796902777800,77.607163793564500
1996-10-01,67.231443022938700,67.222222341415000,14.8103596660121000,80.834191506979000,96.839674304747400,75.913435342854800
1996-11-01,62.452304943690100,89.930332862894300,15.4104198438913000,76.671053020765200,141.652690949130000,71.090246498142100
